"","date","petrol_price","oilaud"
"1",2017-10-14,124.86,65.2251109701966
"2",2017-10-15,124.5,65.2251109701966
"3",2017-10-16,123.95,65.9880391907367
"4",2017-10-17,122.97,66.2198391420911
"5",2017-10-18,121.95,66.407246746619
"6",2017-10-19,120.65,65.1053566895151
"7",2017-10-20,121.95,66.0906298003072
"8",2017-10-21,125.32,66.0906298003072
"9",2017-10-22,130.58,66.0906298003072
"10",2017-10-23,138.88,66.4916100935058
"11",2017-10-24,141.78,67.2493573264781
"12",2017-10-25,141.89,67.5461398492332
"13",2017-10-26,141.77,68.1711758584807
"14",2017-10-27,141.49,70.3916449086162
"15",2017-10-28,141.2,70.3916449086162
"16",2017-10-29,140.98,70.3916449086162
"17",2017-10-30,140.39,70.4740817921334
"18",2017-10-31,138.97,70.8920187793427
"19",2017-11-01,138.08,70.7660239708181
"20",2017-11-02,136.4,70.6423206423206
"21",2017-11-03,134.94,72.718954248366
"22",2017-11-04,133.51,72.718954248366
"23",2017-11-05,132.7,72.718954248366
"24",2017-11-06,131.99,74.7295712237717
"25",2017-11-07,131.3,74.8854262144821
"26",2017-11-08,130.27,74.0132864400156
"27",2017-11-09,128.9,74.5435576421492
"28",2017-11-10,126.79,74.0088680229525
"29",2017-11-11,127.01,74.0088680229525
"30",2017-11-12,130.2,74.0088680229525
"31",2017-11-13,134.49,74.4817633167148
"32",2017-11-14,146.35,72.9811221814368
"33",2017-11-15,148.68,72.9672650475185
"34",2017-11-16,149.2,72.6482213438735
"35",2017-11-17,149.29,74.3223588523073
"36",2017-11-18,149.21,74.3223588523073
"37",2017-11-19,149.13,74.3223588523073
"38",2017-11-20,148.95,74.4404714607337
"39",2017-11-21,148.1,74.9670271696123
"40",2017-11-22,148.29,76.2481886444474
"41",2017-11-23,147.77,76.2481886444474
"42",2017-11-24,147.01,77.3592334952093
"43",2017-11-25,146.01,77.3592334952093
"44",2017-11-26,145.11,77.3592334952093
"45",2017-11-27,143.97,76.3971071663379
"46",2017-11-28,142.93,76.0929499803072
"47",2017-11-29,141.19,75.607501320655
"48",2017-11-30,140.58,75.8055995773904
"49",2017-12-01,136.49,76.5346274921301
"50",2017-12-02,136.4,76.5346274921301
"51",2017-12-03,136.15,76.5346274921301
"52",2017-12-04,134.98,75.6514872334825
"53",2017-12-05,132.76,75.808572179858
"54",2017-12-06,129.72,73.7475214805023
"55",2017-12-07,128.87,75.0730799893702
"56",2017-12-08,129.94,76.128946316771
"57",2017-12-09,136.78,76.128946316771
"58",2017-12-10,146.95,76.128946316771
